"latest_psc_name","api_icb_code","api_icb_name","api_current_code_quarter","api_current_org_name_quarter"
"East Midlands HIN","QJ2","NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD","RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST"
"East Midlands HIN","QJ2","NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD","RTG","UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST"
"East Midlands HIN","QK1","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD","RWE","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST"
"East Midlands HIN","QJM","NHS LINCOLNSHIRE INTEGRATED CARE BOARD","RWD","UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST"
"East Midlands HIN","QPM","NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD","RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST"
"East Midlands HIN","QPM","NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD","RNS","NORTHAMPTON GENERAL HOSPITAL NHS TRUST"
"East Midlands HIN","QT1","NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD","RX1","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST"
"East Midlands HIN","QT1","NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD","RK5","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST"
"Eastern HIN","QHG","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD","RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST"
"Eastern HIN","QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"Eastern HIN","QUE","NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD","RGN","NORTH WEST ANGLIA NHS FOUNDATION TRUST"
"Eastern HIN","QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD","RWH","EAST AND NORTH HERTFORDSHIRE NHS TRUST"
"Eastern HIN","QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD","RQW","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST"
"Eastern HIN","QM7","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD","RWG","WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST"
"Eastern HIN","QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD","RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"Eastern HIN","QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD","RM1","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"Eastern HIN","QMM","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD","RCX","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST"
"Eastern HIN","QJG","NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD","RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST"
"Eastern HIN","QJG","NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD","RGR","WEST SUFFOLK NHS FOUNDATION TRUST"
"Imperial College Health Partners HIN","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","RQM","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST"
"Imperial College Health Partners HIN","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST"
"Imperial College Health Partners HIN","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","R1K","LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST"
"Imperial College Health Partners HIN","QRV","NHS NORTH WEST LONDON INTEGRATED CARE BOARD","RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST"
"Kent Surrey Sussex HIN","QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","RN7","DARTFORD AND GRAVESHAM NHS TRUST"
"Kent Surrey Sussex HIN","QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","RVV","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST"
"Kent Surrey Sussex HIN","QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","RWF","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST"
"Kent Surrey Sussex HIN","QKS","NHS KENT AND MEDWAY INTEGRATED CARE BOARD","RPA","MEDWAY NHS FOUNDATION TRUST"
"Kent Surrey Sussex HIN","QXU","NHS SURREY HEARTLANDS INTEGRATED CARE BOARD","RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST"
"Kent Surrey Sussex HIN","QXU","NHS SURREY HEARTLANDS INTEGRATED CARE BOARD","RA2","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST"
"Kent Surrey Sussex HIN","QXU","NHS SURREY HEARTLANDS INTEGRATED CARE BOARD","RTP","SURREY AND SUSSEX HEALTHCARE NHS TRUST"
